Efficient,Modbus TCP register mapping file with minimal gaps between registers (64 bit Max size),,,,,,,,,,
,,,,,,,,,,,
Dev_Name,Manufacturer,Dev_Type,Dev_Protocol,Template Name,Total_EDS_Parameters,,,,,,
,,,,,,,,,,,
3C - Magnum PXR 20/25,Eaton,Protection,,,143,,,,,,
,Category,Modbus TCP Register (1-based),Description,Register Count,Type ID,Units,Writable,Possible Values,,Data Trendable,Function Code
,Energy,1110,Energy,4,DOUBLE,watthours,No,,,Yes,03 or 04
,Energy,1114,Apparent Energy,4,DOUBLE,vahours,No,,,Yes,03 or 04
,Demand,1118,Power Demand,2,FLOAT,watts,No,,,Yes,03 or 04
,Demand,1120,Reactive Demand,2,FLOAT,voltamperesreactive,No,,,Yes,03 or 04
,Demand,1122,Apparent Demand,2,FLOAT,voltamperes,No,,,Yes,03 or 04
,Demand,1124,Real Peak Dmd,2,FLOAT,watts,No,,,Yes,03 or 04
,Demand,1126,Reactive Pk Dmd,2,FLOAT,voltamperesreactive,No,,,Yes,03 or 04
,Demand,1128,App Peak Demand,2,FLOAT,voltamperes,No,,,Yes,03 or 04
,Frequency,1130,Frequency,2,FLOAT,hertz,No,,,Yes,03 or 04
,Environment,1132,Device Temp,2,FLOAT,degreescelsius,No,,,Yes,03 or 04
,Operations,1134,SDT count,2,UINT32,,No,,,No,03 or 04
,Operations,1136,IDT count,2,UINT32,,No,,,No,03 or 04
,Operations,1138,HCDT count,2,UINT32,,No,,,No,03 or 04
,Operations,1140,LDT count,2,UINT32,,No,,,No,03 or 04
,Operations,1142,GFT count,2,UINT32,,No,,,No,03 or 04
,Operations,1144,TT count,2,UINT32,,No,,,No,03 or 04
,Operations,1146,Test trip count,2,UINT32,,No,,,No,03 or 04
,Operations,1148,Open by Comm count,2,UINT32,,No,,,No,03 or 04
,Operations,1150,Manual open count,2,UINT32,,No,,,No,03 or 04
,Time,1152,Time of Last Operation,3,DATE,,No,,,No,03 or 04
,Environment,1155,Temp Maximum,2,FLOAT,degreescelsius,No,,,Yes,03 or 04
,Time,1157,Time of Max Dev Temp,3,DATE,,No,,,No,03 or 04
,Operations,1160,Running Time : Min,2,UINT32,,No,,,No,03 or 04
,Operations,1162,Running Time : Hr,2,UINT32,,No,,,No,03 or 04
,Operations,1164,Running Time : Day,2,UINT32,,No,,,No,03 or 04
,Operations,1166,Life Point,2,UINT32,,No,,,No,03 or 04
,Operations,1168,Breaker Health,2,UINT32,percent,No,,,Yes,03 or 04
,Miscellaneous,44000,Entity Operating St,1,UINT16,,No,Offline(3);Online(4);,,No,03 or 04
,Operations,1000,Brkr Position,1,BOOL,,No,Open(0);Closed(1);,,No,01 or 02
,Operations,1001,Trip Event,1,BOOL,,No,Inactive(0);Active(1);,,No,01 or 02
,Operations,1002,ARMS Mode,1,BOOL,,No,Inactive(0);Active(1);,,No,01 or 02
,Operations,1003,ARMS Mode Off,1,BOOL,,No,Inactive(0);Active(1);,,No,01 or 02
,Operations,1004,ARMS Local Control,1,BOOL,,No,Inactive(0);Active(1);,,No,01 or 02
,Operations,1005,Unknown,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1006,Inst Trip,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1007,Aux Under Volt,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1008,Curr Unbalance,1,BOOL,,No,Inactive(0);Active(1);,,No,01 or 02
,Operations,1009,Operations Count Alm,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1010,Communications,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1011,Coil Supervision,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1012,Diagnostic Warn,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1013,Long Delay,1,BOOL,,No,False(0);True(1);,,No,01 or 02
